Date,stock1,stock2,spread,zscore,position,pnl
2001-04-10,67.437706,34.444347,-5.193281413900948,-0.5857136057284343,0.0,0.0
2001-04-11,67.67462900000001,34.215721,-4.474266762446774,-0.42586926050251045,0.0,-0.0
2001-04-12,68.89859799999999,34.634861,-4.134116290481671,-0.35025031538145096,0.0,-0.0
2001-04-16,67.44561800000001,34.009987,-4.269457270375568,-0.38033800590294753,0.0,0.0
2001-04-17,68.79594399999999,34.558651,-4.076070261800226,-0.33734608675580907,0.0,-0.0
2001-04-18,71.520325,35.56834,-3.4807674832847084,-0.20500416208078623,0.0,-0.0
2001-04-19,72.09671800000001,35.964626,-3.7400019805429565,-0.2626346545754962,0.0,0.0
2001-04-20,71.307098,35.545483000000004,-3.6457971265654976,-0.2416919475379186,0.0,-0.0
2001-04-23,70.422646,34.901546,-3.1724129584899288,-0.13645378273373354,0.0,-0.0
2001-04-24,70.122589,35.16827,-4.034896863752053,-0.32819281729401706,0.0,0.0
2001-04-25,71.56765,35.930328,-4.196747587369956,-0.3641738962452219,0.0,0.0
2001-04-26,72.491615,36.444687,-4.357384425088824,-0.3998851158878331,0.0,0.0
2001-04-27,73.51818100000001,36.920975,-4.335141942483176,-0.3949403834528148,0.0,-0.0
2001-04-30,73.676086,36.959087,-4.25760171735665,-0.37770239464555855,0.0,-0.0
2001-05-01,74.694771,37.416306,-4.20303043489632,-0.36557063780949306,0.0,-0.0
2001-05-02,74.402565,37.321049,-4.294372996605986,-0.3858770278645652,0.0,0.0
2001-05-03,73.225975,36.860023,-4.498821657898603,-0.4313280660743447,0.0,0.0
2001-05-04,74.979073,37.378204,-3.838384746498207,-0.2845061543757121,0.0,-0.0
2001-05-07,74.347321,37.149601000000004,-3.9880935939373785,-0.3177879694889989,0.0,0.0
2001-05-08,74.37101700000001,37.340088,-4.366067537034596,-0.4018154608963641,0.0,0.0
2001-05-09,73.944588,37.111481,-4.310444949883603,-0.3894499882249231,0.0,-0.0
2001-05-10,73.87352,37.149601000000004,-4.461894593937373,-0.4231188003131243,0.0,0.0
2001-05-11,73.834023,36.928589,-4.0353551848185845,-0.3282947067765677,0.0,-0.0
2001-05-14,73.581322,36.920975,-4.272000942483189,-0.38090349034987736,0.0,0.0
2001-05-15,74.37101700000001,37.282948,-4.245579416855378,-0.375029713709435,0.0,-0.0
2001-05-16,76.195114,37.99926,-3.9319319503136967,-0.3053026590246248,0.0,-0.0
2001-05-17,77.308571,38.391727,-3.6460495226338594,-0.2417480577774016,0.0,-0.0
2001-05-18,77.19010899999999,38.540321,-4.077843894525856,-0.33774038353561214,0.0,0.0
2001-05-21,79.203743,39.2071,-3.470211789607589,-0.2026575229117343,0.0,-0.0
2001-05-22,79.132698,39.39761,-3.9429752315981546,-0.3077576939289759,0.0,0.0
2001-05-23,77.34803000000001,38.483181,-3.7994347743466363,-0.2758471753374629,0.0,-0.0
2001-05-24,77.663925,38.883244,-4.327131633346525,-0.3931596094221109,0.0,0.0
2001-05-25,77.308571,38.597477000000005,-4.079903753065636,-0.3381983112550033,0.0,-0.0
2001-05-29,76.39256999999999,38.102146000000005,-3.951426260652511,-0.30963644452598643,0.0,-0.0
2001-05-30,74.821106,37.606827,-4.478437072009783,-0.42679636317022424,0.0,0.0
2001-05-31,75.452866,37.759235,-4.16805182560222,-0.35779453354204727,0.0,-0.0
2001-06-01,76.439949,38.205025,-4.120982810458514,-0.34733060781972946,0.0,-0.0
2001-06-04,76.91375699999999,38.704159000000004,-4.699672489449227,-0.47597926976311705,0.0,0.0
2001-06-05,78.37460300000001,39.245224,-4.379741868251486,-0.4048554052359483,0.0,-0.0
2001-06-06,77.308571,38.997532,-4.923478742885237,-0.5257336996145736,0.0,0.0
2001-06-07,77.979774,39.161384999999996,-4.597783967521622,-0.4533284043869845,0.0,-0.0
2001-06-08,77.071648,38.933678,-5.025756163152607,-0.5484710210877458,0.0,0.0
2001-06-11,76.195114,38.417862,-4.814616025974473,-0.5015323990306102,0.0,-0.0
2001-06-12,75.97403,38.51339,-5.237134907746949,-0.5954626880253059,0.0,0.0
2001-06-13,75.500221,38.459888,-5.5981270473019435,-0.6757149500093597,0.0,0.0
2001-06-14,73.63662,37.500877,-5.439511865622194,-0.6404531652776941,0.0,-0.0
2001-06-15,73.977631,37.730148,-5.581952594736762,-0.6721192030041486,0.0,0.0
2001-06-18,73.58199300000001,37.44355,-5.373256428353827,-0.6257239007677144,0.0,-0.0
2001-06-19,73.22596,37.328934000000004,-5.487604682423495,-0.6511446926285304,0.0,0.0
2001-06-20,74.301994,37.768337,-5.338116735470479,-0.6179119859631705,0.0,-0.0
2001-06-21,74.483994,37.821808000000004,-5.268868227841892,-0.6025173311569335,0.0,-0.0
2001-06-22,73.344627,37.137894,-4.966101657239108,-0.5352092114455718,0.0,-0.0
2001-06-25,73.067764,36.878082,-4.69511272374244,-0.47496558699279945,0.0,-0.0
2001-06-26,73.32093,37.44355,-5.634319428353834,-0.6837608882106276,0.0,0.0
2001-06-27,73.542427,37.80653,-6.178219310794304,-0.8046754208996671,0.0,0.0
2001-06-28,74.21498100000001,38.284145,-6.51278700346829,-0.8790532568186753,0.0,0.0
2001-06-29,75.362236,38.933678,-6.735168163152608,-0.9284908736856341,0.0,0.0
2001-07-02,75.12487800000001,38.054882,-5.119455143533997,-0.5693012672268324,0.0,-0.0
2001-07-03,75.045738,37.825641999999995,-4.715208782493022,-0.47943314734933995,0.0,-0.0
2001-07-05,74.056732,37.328934000000004,-4.656832682423499,-0.4664555404624924,0.0,-0.0
2001-07-06,72.830315,36.641186,-4.433031557169571,-0.41670225065860705,0.0,-0.0
2001-07-09,72.869934,36.985085,-5.118574335984917,-0.5691054546579674,0.0,0.0
2001-07-10,72.047081,36.297344,-4.49122397126375,-0.4296390222656774,0.0,-0.0
2001-07-11,72.157837,36.297344,-4.380467971263755,-0.4050168253966196,0.0,-0.0
2001-07-12,73.510826,37.187584,-4.904681353278747,-0.52155484675319,0.0,0.0
2001-07-13,73.930176,37.367138,-4.863947452870221,-0.5124992821327327,0.0,-0.0
2001-07-16,72.798721,36.736713,-4.666058330294518,-0.46850649678201334,0.0,-0.0
2001-07-17,73.661163,37.462677,-5.3344185297655855,-0.6170898368342009,0.0,0.0
2001-07-18,73.186417,36.75584,-4.3186944317062625,-0.3912839328013365,0.0,-0.0
2001-07-19,73.85894,37.061493,-4.290685876878385,-0.3850573432622611,0.0,-0.0
2001-07-20,73.93804200000001,37.061493,-4.211583876878379,-0.36747215585267207,0.0,-0.0
2001-07-23,73.22596,36.794033,-4.359687007030104,-0.40039700351347257,0.0,0.0
2001-07-24,72.078751,36.182701,-4.2178122918499525,-0.36885679650069364,0.0,-0.0
2001-07-25,72.553444,36.392868,-4.186287418446085,-0.36184849321037815,0.0,-0.0
2001-07-26,73.463348,36.927753,-4.404267355478908,-0.4103076730573139,0.0,0.0
2001-07-27,74.056732,36.870441,-3.690032547923579,-0.25152593624520714,0.0,-0.0
2001-07-30,74.135826,36.813133,-3.49009617495841,-0.20707802609646597,0.0,-0.0
2001-07-31,73.969734,36.767288,-3.559517228692812,-0.22251103967501668,0.0,0.0
2001-08-01,74.768822,37.328934000000004,-3.9447426824234952,-0.30815061640882274,0.0,0.0
2001-08-02,74.570992,37.214329,-3.900911131616027,-0.298406412274892,0.0,-0.0
2001-08-03,74.452354,37.118813,-3.818139553613989,-0.2800054399688422,0.0,-0.0
2001-08-06,73.313004,36.603001,-3.8698238510259984,-0.2914953903635611,0.0,0.0
2001-08-07,73.305054,36.641186,-3.958292557169571,-0.3111628927960972,0.0,0.0
2001-08-08,71.999649,35.819736,-3.5315490391224955,-0.21629342374746885,0.0,-0.0
2001-08-09,72.149956,36.182701,-4.146607291849946,-0.35302719333642724,0.0,0.0
2001-08-10,72.474335,36.144484999999996,-3.7416442176327678,-0.26299974075530586,0.0,-0.0
2001-08-13,72.909492,36.450171999999995,-3.951073356821098,-0.30955799037801346,0.0,0.0
2001-08-14,73.186417,36.564789000000005,-3.915835211398999,-0.30172418856245997,0.0,-0.0
2001-08-15,72.877853,36.518944,-4.127728265133399,-0.34883019170661894,0.0,0.0
2001-08-16,73.186417,36.75584,-4.3186944317062625,-0.3912839328013365,0.0,0.0
2001-08-17,71.809708,36.182701,-4.486855291849949,-0.4286678199417905,0.0,0.0
2001-08-20,72.513885,36.5839,-4.6286655744501815,-0.46019370292997896,0.0,0.0
2001-08-21,71.287521,35.953465,-4.525664365399109,-0.4372954757729257,0.0,-0.0
2001-08-22,72.521782,36.431057,-4.2984765591797895,-0.3867892919907226,0.0,-0.0
2001-08-23,72.43480699999999,35.953465,-3.378378365399115,-0.18224200907933835,0.0,-0.0
2001-08-24,73.344627,36.717617,-4.079885596956345,-0.33819427496534543,0.0,0.0
2001-08-27,72.949097,36.5839,-4.193453574450189,-0.3634416033256534,0.0,0.0
2001-08-28,72.197395,36.182701,-4.099168291849949,-0.3424810161787905,0.0,-0.0
2001-08-29,72.197395,36.029888,-3.7769395360056137,-0.2708462527052889,0.0,-0.0
2001-08-30,71.20839699999999,35.575210999999996,-3.807184000501209,-0.2775699079385026,0.0,0.0
2001-08-31,71.691063,35.873226,-3.952926595797095,-0.3099699844452641,0.0,0.0
2001-09-04,71.12928000000001,35.533161,-3.7976323716328864,-0.27544648269367583,0.0,-0.0
2001-09-05,70.733711,35.284821,-3.6695398426636245,-0.24697019729390704,0.0,-0.0
2001-09-06,69.214546,34.463347999999996,-3.456507825723236,-0.1996109909256837,0.0,-0.0
2001-09-07,68.17018900000001,33.825306,-3.1554591348695027,-0.13268477353454405,0.0,-0.0
2001-09-10,68.043571,33.565502,-2.7342420705531367,-0.039043891937117214,0.0,-0.0
2001-09-17,64.467361,31.903437,-2.8057428044408965,-0.054939239783433555,0.0,0.0
2001-09-18,63.494152,31.387642,-2.6913219488610167,-0.029502307860883474,0.0,-0.0
2001-09-19,61.832626,30.627316999999998,-2.749590511422177,-0.04245600805462434,0.0,0.0
2001-09-20,59.490639,29.461979,-2.6342904096826487,-0.01682361067612398,0.0,-0.0
2001-09-21,59.03944,28.907969,-1.9172775885331532,0.14257570710333894,0.0,-0.0
2001-09-24,60.696812,29.802021000000003,-2.145146134953528,0.09191818777952125,0.0,0.0
2001-09-25,60.91885,30.165007,-2.688517669279207,-0.028878887694579202,0.0,0.0
2001-09-26,60.450995999999996,29.717971999999996,-2.2137324182412,0.0766707522489305,0.0,-0.0
2001-09-27,61.577065000000005,30.195555,-2.0947176341940477,0.10312896167449226,0.0,-0.0
2001-09-28,62.76656,30.642597,-1.8478766457648135,0.15800424980748454,0.0,-0.0
2001-10-01,61.973579,30.4869,-2.31254755042805,0.05470313299266718,0.0,0.0
2001-10-02,62.65554399999999,30.820518,-2.3340653239308153,0.049919510837940544,0.0,0.0
2001-10-03,64.193993,31.522312,-2.275452512468533,0.06294974109971732,0.0,-0.0
2001-10-04,64.47152700000001,31.83675,-2.660957426240131,-0.02275196247276508,0.0,0.0
2001-10-05,64.03538499999999,31.675694,-2.757489088760579,-0.04421194295848165,0.0,0.0
2001-10-08,63.718146999999995,31.388088,-2.468267405661855,0.020085009080751805,0.0,-0.0
2001-10-09,63.678555,31.127333,-1.9580190175391863,0.13351846879829601,0.0,-0.0
