Date,Open,High,Low,Close,Adj Close,Volume
2012-10-16,179.850006,181.169998,179.759995,181.169998,162.211441,1390000
2012-10-17,181.119995,182.889999,180.889999,182.509995,163.411194,2071700
2012-10-18,182.259995,182.830002,181.539993,182.369995,163.285812,1482600
2012-10-19,181.649994,181.809998,179.190002,179.589996,160.796799,2295100
2012-10-22,179.610001,180.020004,178.309998,179.479996,160.698273,1199600
2012-10-23,177.589996,178.740005,176.070007,178.179993,159.534317,2403200
2012-10-24,178.960007,179.259995,177.399994,177.679993,159.086639,1180300
2012-10-25,178.729996,179.289993,176.649994,178.070007,159.435852,2461900
2012-10-26,178.130005,178.669998,176.300003,177.559998,158.979156,1682900
2012-10-31,177.669998,178.600006,176.880005,178.250000,159.597000,1781900
2012-11-01,178.759995,182.839996,177.970001,182.679993,163.563400,2546800
2012-11-02,183.360001,183.419998,179.940002,179.990005,161.154861,3544700
2012-11-05,179.919998,181.199997,179.380005,181.100006,162.148773,1492300
2012-11-06,181.669998,183.089996,181.300003,182.690002,163.572372,2050800
2012-11-07,180.710007,180.869995,177.910004,178.899994,160.178986,5672700
2012-11-08,178.649994,179.139999,176.369995,176.369995,157.913727,5108300
2012-11-09,175.559998,178.100006,175.539993,176.800003,158.298706,2348000
2012-11-12,177.270004,177.380005,176.250000,176.539993,158.065887,1581600
2012-11-13,175.720001,177.610001,175.380005,176.490005,158.021133,1509900
2012-11-14,176.550003,176.850006,172.820007,173.199997,155.075424,6331400
2012-11-15,172.860001,173.869995,171.529999,172.520004,154.466568,2656700
2012-11-16,172.660004,173.919998,171.550003,173.759995,155.576828,8309500
2012-11-19,175.490005,177.289993,175.289993,177.289993,158.737427,2078200
2012-11-20,176.740005,178.020004,176.529999,177.889999,159.274643,1898700
2012-11-21,178.029999,178.559998,177.500000,178.399994,159.731293,800900
2012-11-23,179.190002,180.660004,179.149994,180.550003,161.656281,1370800
2012-11-26,179.889999,180.669998,179.289993,180.410004,161.530930,974200
2012-11-27,180.160004,180.970001,179.759995,180.009995,161.172775,1344900
