Date,sp1,nav
2002-03-12,-2.495193227919472,-2.495193227919472
2002-03-13,-2.281980770139853,-2.281980770139853
2002-03-14,-2.4963556718558664,-2.4963556718558664
2002-03-15,-2.0703707825706346,-2.0703707825706346
2002-03-18,-1.8722555814729844,-1.8722555814729844
2002-03-19,-2.391927549305052,-2.391927549305052
2002-03-20,-2.2554620405842485,-2.2554620405842485
2002-03-21,-2.8548902636858458,-2.8548902636858458
2002-03-22,-2.6363711576415483,-2.6363711576415483
2002-03-25,-3.182507401665802,-3.182507401665802
2002-03-26,-2.8974526199834543,-2.8974526199834543
2002-03-27,-3.1670130408111845,-3.1670130408111845
2002-03-28,-2.6172217950013845,-2.6172217950013845
2002-04-01,-2.364033638643292,-2.364033638643292
2002-04-02,-2.775866735114363,-2.775866735114363
2002-04-03,-2.915926671855857,-2.915926671855857
2002-04-04,-3.0017392279194723,-3.0017392279194723
2002-04-05,-3.150764844157081,-3.150764844157081
2002-04-08,-2.971331587815527,-2.971331587815527
2002-04-09,-2.9893933339637613,-2.9893933339637613
2002-04-10,-3.163181532685101,-3.163181532685101
2002-04-11,-3.1612991021433174,-3.1612991021433174
2002-04-12,-3.889179938224487,-3.889179938224487
2002-04-15,-3.5428977694356405,-3.5428977694356405
2002-04-16,-4.2997386116050365,-4.2997386116050365
2002-04-17,-3.744486544975018,-3.744486544975018
2002-04-18,-3.7614083287298854,-3.7614083287298854
2002-04-19,-3.3540622241033446,-3.3540622241033446
2002-04-22,-3.260982398894342,-3.260982398894342
2002-04-23,-3.5214125326851047,-3.5214125326851047
2002-04-24,-3.6989357704802757,-3.6989357704802757
2002-04-25,-3.440454116387002,-3.440454116387002
2002-04-26,-3.3779506889570996,-3.3779506889570996
2002-04-29,-3.5021022620137785,-3.5021022620137785
2002-04-30,-3.758748801203083,-3.758748801203083
2002-05-01,-3.841414484974507,-3.841414484974507
2002-05-02,-4.40429067386836,-4.40429067386836
2002-05-03,-4.5564305326850985,-4.5564305326850985
2002-05-06,-4.246901856587854,-4.246901856587854
